p,l_mean,l_std,c_mean,c_std
0.63,0.410485185185,0.00154833223943,0.170146443997,0.0170264058415
0.3969,0.421948148148,0.00207026399014,0.301565355478,0.0213994100309
0.25,0.441411111111,0.00470431770724,0.476229745255,0.031015449645
0.1575,0.466362962963,0.00489411741861,0.635424667,0.0251582662377
0.0992,0.498677777778,0.0101202501697,0.758336546787,0.0231679943775
0.0625,0.534774074074,0.019375711953,0.847159665335,0.0273275724927
0.0394,0.575203703704,0.0216668337372,0.893887912088,0.0207030061989
0.0248,0.621766666667,0.0423816211789,0.932401348651,0.0150619126049
0.0156,0.678255555556,0.03702972541,0.96242012987,0.0118601630576
0.0098,0.725240740741,0.0442502280849,0.972260281385,0.00714976445452
0.0062,0.87257037037,0.106312043685,0.988325,0.0104722337615
0.0039,0.858174074074,0.0638585209631,0.989010606061,0.00602318751815
0.0025,0.922844444444,0.094712000261,0.995529761905,0.00576692609385
0.0016,0.923896296296,0.0874522253795,0.996175,0.00577740852506
0.001,0.952862962963,0.06284129142,0.997889393939,0.00297638093754
0.0006,1.0,0.0,1.0,0.0
0.0004,1.0,0.0,1.0,0.0
0.0002,0.992311111111,0.0243144015649,0.999201515152,0.00252503079835
0.0002,0.973003703704,0.0569131904596,0.998511363636,0.00314869169447
0.0001,1.0,0.0,1.0,0.0
